emp_title,emp_length,state,homeownership,annual_income,verified_income,debt_to_income,delinq_2y,months_since_last_delinq,total_credit_lines,account_never_delinq_percent,loan_purpose,application_type,loan_amount,term,interest_rate,installment,grade,loan_status
,,NY,OWN,46000.0,Not Verified,11.32,0,,42,100.0,credit_card,individual,2500,36,10.9,81.73,B,Current
,,NJ,MORTGAGE,75000.0,Not Verified,19.75,0,65.0,27,96.0,debt_consolidation,individual,10000,36,6.08,304.59,A,Current
area manager,10.0,NC,MORTGAGE,46000.0,Verified,71.04,0,,26,100.0,debt_consolidation,joint,12000,36,10.9,392.3,B,Current
office manager/executive assistant,3.0,NJ,RENT,45000.0,Verified,47.81,0,,26,100.0,debt_consolidation,joint,35000,60,21.85,963.68,D,Current
nurse,8.0,PA,MORTGAGE,80000.0,Source Verified,13.97,0,51.0,44,100.0,home_improvement,individual,8000,36,6.72,246.0,A,Current
business analyst iii,10.0,TX,MORTGAGE,80000.0,Verified,17.71,0,26.0,33,78.8,other,individual,30000,60,13.58,691.54,C,Current
executive chef,10.0,RI,RENT,84000.0,Verified,15.3,0,,13,100.0,debt_consolidation,individual,25000,36,13.58,849.35,C,Current
premier banker ,5.0,AZ,RENT,59000.0,Source Verified,24.82,0,35.0,20,95.0,debt_consolidation,individual,8000,36,15.04,277.48,C,Current
vp of operations,10.0,RI,RENT,155000.0,Source Verified,11.06,0,,47,100.0,debt_consolidation,joint,20000,60,9.44,419.46,B,Current
sales,1.0,CA,RENT,52000.0,Not Verified,16.64,0,36.0,14,92.9,credit_card,individual,9000,36,17.47,322.99,D,Current
real estate agent ,4.0,CA,MORTGAGE,61000.0,Not Verified,7.14,0,34.0,15,93.3,debt_consolidation,joint,20000,60,15.05,476.33,C,Current
maintenance,10.0,KY,MORTGAGE,65000.0,Source Verified,16.45,0,30.0,30,96.7,credit_card,individual,30000,60,25.81,894.85,E,Current
werehouse associated,1.0,MN,RENT,42000.0,Verified,10.74,1,15.0,5,60.0,house,individual,28000,36,20.39,1046.16,D,Current
construction manger,10.0,NY,RENT,113500.0,Not Verified,31.08,0,47.0,31,93.3,credit_card,individual,16000,60,13.58,368.82,C,Late (31-120 days)
rn,9.0,CA,RENT,200000.0,Source Verified,8.38,1,11.0,32,65.6,credit_card,individual,16000,36,9.93,515.75,B,Current
pharmacist ,8.0,CA,MORTGAGE,68000.0,Not Verified,16.7,2,8.0,53,86.8,debt_consolidation,individual,6000,36,15.05,208.14,C,Current
executive administrator ,2.0,NY,RENT,35000.0,Not Verified,24.69,0,,15,100.0,debt_consolidation,individual,12500,36,18.45,454.74,D,Current
heavy loader operator,10.0,TX,MORTGAGE,65000.0,Source Verified,21.69,0,,31,100.0,debt_consolidation,joint,15000,60,15.04,357.17,C,Current
powerlineman,10.0,AZ,MORTGAGE,190000.0,Source Verified,9.35,0,,10,100.0,debt_consolidation,individual,40000,60,16.02,973.15,C,Current
,,SC,OWN,42000.0,Not Verified,27.08,0,,14,100.0,debt_consolidation,individual,10000,36,14.07,342.12,C,Current
loan officer,1.0,TX,MORTGAGE,70000.0,Source Verified,31.39,2,15.0,37,91.9,debt_consolidation,joint,35000,36,14.07,1197.41,C,Current
doctor,0.0,NY,RENT,68000.0,Not Verified,29.0,0,,38,100.0,credit_card,individual,9000,36,7.97,281.91,A,Current
owner,2.0,NV,MORTGAGE,95000.0,Not Verified,7.3,0,26.0,9,77.8,debt_consolidation,individual,25000,60,13.59,576.41,C,Current
environmental consultant,0.0,MA,RENT,50000.0,Not Verified,17.33,0,,26,100.0,debt_consolidation,individual,13500,36,15.05,468.32,C,Current
craneman,10.0,PA,MORTGAGE,100000.0,Source Verified,23.88,1,6.0,31,77.4,debt_consolidation,joint,12000,60,16.02,291.95,C,Current
manager,7.0,WA,OWN,40000.0,Source Verified,14.65,0,,9,100.0,debt_consolidation,individual,20000,36,12.62,670.23,C,Current
penetration tester,2.0,VA,RENT,163000.0,Source Verified,4.98,0,,12,100.0,house,individual,30000,60,9.43,629.04,B,Current
medical technologist,1.0,NJ,RENT,55120.0,Source Verified,15.2,0,,12,100.0,debt_consolidation,individual,25000,60,12.62,563.98,C,Current
analyst,1.0,NY,RENT,136000.0,Not Verified,8.07,0,,13,100.0,credit_card,individual,25000,36,11.98,830.12,B,Current
senior title officer,10.0,CA,RENT,275000.0,Source Verified,16.43,0,32.0,19,89.5,debt_consolidation,individual,40000,60,13.59,922.25,C,Current
it manager,10.0,NY,OWN,72000.0,Source Verified,8.18,0,,43,100.0,home_improvement,individual,40000,36,6.08,1218.33,A,Current
president,10.0,NY,MORTGAGE,67600.0,Verified,17.84,0,53.0,18,88.9,debt_consolidation,individual,20000,36,10.41,649.21,B,Current
lead service tech,1.0,OH,RENT,50000.0,Source Verified,8.69,0,,8,100.0,other,individual,7500,36,13.59,254.85,C,Current
machine operator,10.0,CA,RENT,42000.0,Verified,18.8,0,,23,100.0,debt_consolidation,individual,17000,60,28.72,536.72,F,Current
dental pas tl,2.0,OH,RENT,52780.0,Not Verified,44.85,1,6.0,44,90.9,debt_consolidation,joint,35000,36,7.35,1086.31,A,Current
owner ,5.0,MN,MORTGAGE,75000.0,Not Verified,25.74,0,27.0,16,78.6,debt_consolidation,individual,12000,36,10.9,392.3,B,Current
development officer,2.0,TX,MORTGAGE,75000.0,Source Verified,22.42,0,,17,100.0,debt_consolidation,joint,16500,60,7.34,329.38,A,Current
csa,0.0,OR,RENT,30000.0,Not Verified,23.8,0,,15,100.0,debt_consolidation,individual,10000,60,10.42,214.55,B,Current
,,NY,MORTGAGE,66000.0,Not Verified,15.11,0,42.0,21,100.0,other,individual,10000,60,12.62,225.6,C,Current
school secretary 1,10.0,CA,RENT,51754.0,Source Verified,25.14,0,59.0,40,97.5,credit_card,individual,2500,36,9.93,80.59,B,Current
financial advisor,9.0,TX,MORTGAGE,65000.0,Source Verified,17.87,0,76.0,17,82.4,credit_card,individual,20000,36,13.58,679.48,C,Current
director of sales,7.0,WA,RENT,225000.0,Verified,4.67,0,,12,100.0,home_improvement,individual,35000,60,17.47,878.71,D,Current
nursing assistsnt,10.0,NY,RENT,57000.0,Source Verified,21.43,1,15.0,31,87.1,other,individual,15000,60,12.61,338.31,C,Current
sr vice president,10.0,TX,OWN,200000.0,Source Verified,16.18,0,25.0,41,97.6,debt_consolidation,individual,30000,36,9.43,960.01,B,Current
maintenance director,10.0,MO,MORTGAGE,62000.0,Not Verified,24.99,0,65.0,16,88.0,credit_card,individual,21000,60,12.62,473.74,C,Current
police officer /auto parts delivery,10.0,PA,OWN,50000.0,Not Verified,20.09,10,15.0,23,56.5,other,individual,14000,36,9.93,451.29,B,Current
,,CT,MORTGAGE,50000.0,Not Verified,10.73,0,,19,100.0,debt_consolidation,individual,15000,60,15.05,357.25,C,Current
teaching fellow ,4.0,CO,RENT,45000.0,Verified,33.14,0,43.0,29,96.6,moving,individual,11200,60,25.81,334.08,E,Current
sales rep,7.0,VA,MORTGAGE,80000.0,Not Verified,13.76,0,,27,100.0,debt_consolidation,individual,25000,36,7.34,775.82,A,Current
owner ,9.0,PA,MORTGAGE,120000.0,Not Verified,14.73,0,,15,100.0,debt_consolidation,individual,12000,60,10.42,257.46,B,Current
,,IL,MORTGAGE,100000.0,Not Verified,28.23,0,55.0,50,100.0,debt_consolidation,individual,10000,36,5.31,301.11,A,Current
,,WA,MORTGAGE,60960.0,Verified,15.93,0,41.0,42,90.5,credit_card,individual,21000,36,12.62,703.74,C,Current
senior officer specialist,8.0,CA,MORTGAGE,95000.0,Verified,21.05,0,,17,100.0,debt_consolidation,individual,16000,60,20.0,423.91,D,Current
ceo,10.0,IL,MORTGAGE,130000.0,Verified,24.3,0,,34,100.0,credit_card,individual,40000,36,10.91,1307.85,B,Current
systems engineer 4,5.0,FL,MORTGAGE,124730.0,Source Verified,13.83,0,,17,88.2,debt_consolidation,individual,16800,36,12.62,562.99,C,Current
equipment operator,10.0,PA,MORTGAGE,69000.0,Not Verified,8.63,0,,24,100.0,debt_consolidation,individual,7000,36,5.31,210.78,A,Current
project & property manager,5.0,VT,MORTGAGE,80000.0,Verified,30.24,0,,23,82.6,debt_consolidation,individual,20000,60,11.98,444.69,B,Current
administrative assistant ,6.0,MA,RENT,44000.0,Source Verified,27.83,0,37.0,25,80.0,credit_card,individual,14400,36,7.96,450.98,A,Current
billing/customer service,10.0,NY,MORTGAGE,75000.0,Source Verified,15.82,0,,11,100.0,credit_card,individual,30000,36,14.07,1026.35,C,Current
icare,5.0,TX,RENT,36000.0,Source Verified,18.77,0,36.0,7,85.7,debt_consolidation,individual,8000,36,14.08,273.74,C,Current
asst manager,7.0,TX,MORTGAGE,72000.0,Source Verified,34.48,1,20.0,33,86.7,debt_consolidation,individual,5000,36,9.44,160.03,B,Fully Paid
registered nurse ,5.0,NC,MORTGAGE,65000.0,Source Verified,13.18,0,50.0,24,76.2,small_business,individual,10000,36,13.59,339.79,C,Current
high way tech 1,6.0,KY,OWN,40000.0,Verified,26.79,0,61.0,25,84.0,credit_card,individual,5000,36,22.91,193.32,E,Current
office manager,3.0,FL,MORTGAGE,51000.0,Not Verified,14.85,0,,18,100.0,debt_consolidation,individual,4000,36,6.08,121.84,A,Current
,,CA,RENT,31200.0,Verified,26.5,0,,8,100.0,other,joint,15000,36,6.72,461.24,A,Current
it manager,10.0,NH,MORTGAGE,148600.0,Source Verified,12.84,0,,29,100.0,debt_consolidation,individual,37000,60,16.01,899.97,C,Current
sales,2.0,CA,RENT,56000.0,Not Verified,10.28,0,30.0,8,87.5,debt_consolidation,individual,10000,36,18.06,361.83,D,Current
owner opperator,10.0,OH,MORTGAGE,50000.0,Not Verified,31.2,0,27.0,22,90.9,credit_card,individual,19000,36,14.07,650.03,C,Current
fleet sales,0.0,GA,OWN,85000.0,Source Verified,8.89,0,,14,100.0,other,individual,35000,60,10.42,750.91,B,Fully Paid
special agent,10.0,CA,MORTGAGE,175000.0,Source Verified,15.5,0,,27,100.0,credit_card,individual,40000,36,5.32,1204.6,A,Current
business development manager,0.0,TX,MORTGAGE,70000.0,Not Verified,15.02,1,11.0,25,84.0,credit_card,individual,10000,36,10.41,324.61,B,Current
registered nurse,0.0,PA,MORTGAGE,75000.0,Source Verified,14.13,1,,26,96.0,debt_consolidation,individual,20000,60,11.98,444.69,B,Current
pharmacy courier ,3.0,NY,RENT,60000.0,Source Verified,16.46,0,,10,100.0,debt_consolidation,individual,37000,60,16.02,900.17,C,Current
pricing strategist ,1.0,FL,MORTGAGE,120000.0,Not Verified,7.5,0,,27,100.0,major_purchase,individual,18000,36,5.32,542.07,A,Current
medical doctor,10.0,CA,MORTGAGE,225000.0,Verified,20.53,0,35.0,37,76.5,debt_consolidation,individual,40000,36,5.31,1204.42,A,Current
teacher,8.0,AZ,OWN,35000.0,Source Verified,20.82,0,,6,100.0,debt_consolidation,individual,16000,36,16.01,562.6,C,Current
project engineer,1.0,CO,RENT,85000.0,Not Verified,11.92,0,67.0,17,71.0,credit_card,individual,10000,36,11.99,332.1,B,Current
pilot ,3.0,KY,MORTGAGE,185000.0,Not Verified,3.06,0,,14,100.0,debt_consolidation,individual,25000,36,9.92,805.75,B,Current
,,CA,RENT,32112.0,Verified,18.61,0,63.0,17,94.1,debt_consolidation,individual,14000,36,11.98,464.87,B,Current
contractor sales,6.0,OH,RENT,45000.0,Not Verified,18.11,0,,13,100.0,debt_consolidation,individual,24000,60,11.99,533.75,B,Current
comgr,10.0,AZ,MORTGAGE,60000.0,Verified,34.11,0,,22,100.0,debt_consolidation,joint,40000,60,7.97,810.49,A,Fully Paid
instructor,3.0,NY,RENT,30000.0,Source Verified,12.6,0,,21,100.0,credit_card,individual,12000,36,7.34,372.4,A,Current
route driver,1.0,KY,OWN,46000.0,Not Verified,22.46,0,,18,100.0,major_purchase,individual,6000,36,6.71,184.47,A,Current
,,NY,RENT,54000.0,Not Verified,12.42,0,,34,100.0,credit_card,individual,20000,60,9.92,424.16,B,Current
director,1.0,NC,MORTGAGE,135000.0,Not Verified,11.8,0,,24,100.0,home_improvement,individual,11000,60,9.92,233.29,B,Current
customer service/sales associate,10.0,OH,RENT,54000.0,Not Verified,8.22,0,53.0,20,94.7,debt_consolidation,individual,11500,60,9.44,241.19,B,Current
chief communications officer,1.0,OK,MORTGAGE,90000.0,Not Verified,11.84,0,,16,100.0,house,individual,7500,36,7.97,234.92,A,Current
art fairs coordinator,2.0,NY,RENT,65000.0,Not Verified,5.99,0,,12,100.0,credit_card,individual,6000,36,10.91,196.18,B,Current
technical support ,3.0,KY,RENT,60000.0,Not Verified,19.42,0,,11,100.0,credit_card,individual,10000,36,10.91,326.97,B,Current
medical education specialist,10.0,FL,MORTGAGE,80000.0,Not Verified,9.17,0,49.0,22,90.9,home_improvement,individual,7500,36,9.44,240.04,B,Current
pharmacist,10.0,IL,MORTGAGE,133000.0,Verified,28.05,0,78.0,32,96.9,credit_card,individual,25000,36,23.87,979.12,E,Current
correctional officer ,0.0,OH,RENT,30000.0,Source Verified,26.21,0,,21,100.0,debt_consolidation,joint,6600,36,18.45,240.1,D,Current
service assurance agent,10.0,WA,OWN,30000.0,Source Verified,19.08,0,,27,100.0,debt_consolidation,individual,15500,36,10.41,503.14,B,Current
mortgage lender,5.0,MN,MORTGAGE,105000.0,Source Verified,22.7,0,,37,100.0,debt_consolidation,individual,25000,60,19.42,654.31,D,Current
correctional officer,10.0,CA,MORTGAGE,80000.0,Verified,34.28,0,76.0,21,95.2,other,individual,2000,36,13.58,67.95,C,Current
kitchen manager,0.0,CO,RENT,32000.0,Source Verified,21.01,0,,9,100.0,debt_consolidation,individual,4000,36,9.92,128.92,B,Current
grocery clerk,10.0,AZ,RENT,40000.0,Not Verified,16.59,2,11.0,13,76.9,credit_card,individual,5000,36,16.02,175.84,C,Current
biomedical engineer,2.0,CA,OWN,175000.0,Verified,25.43,0,,18,100.0,other,individual,10000,60,23.88,286.99,E,Current
paramedic,10.0,NC,OWN,37000.0,Source Verified,23.78,1,7.0,13,76.9,debt_consolidation,individual,6000,36,10.91,196.18,B,Current
insurance agent,10.0,TX,RENT,140000.0,Not Verified,6.53,1,5.0,31,90.3,credit_card,individual,15000,36,13.59,509.69,C,Current
police,10.0,VA,MORTGAGE,62000.0,Source Verified,17.79,0,,31,100.0,debt_consolidation,individual,18000,60,10.9,390.47,B,Current
customer service,10.0,TX,MORTGAGE,42755.0,Verified,50.34,0,,50,100.0,debt_consolidation,joint,24000,36,14.08,821.2,C,Current
ramp service man,10.0,VA,MORTGAGE,120000.0,Verified,25.65,0,,28,100.0,home_improvement,individual,25350,60,19.03,658.02,D,Current
medical w,3.0,MD,OWN,50000.0,Source Verified,0.6,0,24.0,11,90.9,debt_consolidation,individual,15600,36,14.07,533.71,C,Current
shipping forklift driver,10.0,WI,RENT,77000.0,Source Verified,11.92,0,57.0,18,94.4,credit_card,individual,15000,36,10.91,490.45,B,Current
florist ,6.0,AL,OWN,18700.0,Source Verified,20.28,0,70.0,19,93.8,debt_consolidation,individual,10000,36,10.91,326.97,B,Current
special enforcement investigator,5.0,HI,RENT,68700.0,Source Verified,13.4,0,,21,100.0,debt_consolidation,individual,13500,60,18.06,343.26,D,Current
warehouse team member ,2.0,OH,RENT,45000.0,Not Verified,20.11,0,,9,100.0,debt_consolidation,individual,6000,36,9.93,193.41,B,Current
truck driver,8.0,TX,RENT,80000.0,Verified,0.0,0,,3,100.0,house,individual,12800,60,24.85,374.58,E,Current
principal,10.0,MS,MORTGAGE,170000.0,Source Verified,8.67,0,53.0,24,91.3,debt_consolidation,individual,30000,36,10.42,973.95,B,Current
area manager,10.0,FL,MORTGAGE,101000.0,Source Verified,20.72,0,,31,100.0,home_improvement,individual,20000,60,11.98,444.69,B,Current
front office supervisor,10.0,CA,RENT,31000.0,Source Verified,28.34,0,31.0,11,63.6,debt_consolidation,individual,4000,36,5.32,120.46,A,Current
route salesman,8.0,KY,MORTGAGE,50000.0,Verified,15.91,0,,18,100.0,debt_consolidation,individual,24000,60,21.45,655.38,D,Current
,,CA,RENT,25200.0,Source Verified,2.0,0,,8,100.0,other,individual,25000,60,14.08,582.75,C,Current
rn,10.0,NY,RENT,85000.0,Not Verified,10.77,0,,34,100.0,credit_card,individual,20000,60,6.72,393.39,A,Current
operations director,2.0,TX,OWN,65000.0,Source Verified,20.61,0,68.0,24,95.0,credit_card,individual,18000,36,15.05,624.42,C,Current
,,NC,MORTGAGE,92000.0,Not Verified,11.52,0,,19,100.0,debt_consolidation,individual,7000,36,9.43,224.01,B,Current
senior network lead engineer,1.0,NY,MORTGAGE,167000.0,Verified,8.99,0,38.0,34,97.1,other,individual,24000,60,19.42,628.14,D,Current
program director,10.0,NC,MORTGAGE,75250.0,Not Verified,25.36,1,22.0,23,95.7,debt_consolidation,individual,16000,60,10.91,347.17,B,Current
rn,1.0,TN,MORTGAGE,42000.0,Source Verified,17.54,0,,15,100.0,debt_consolidation,joint,25000,60,14.08,582.75,C,Current
,,VA,MORTGAGE,59000.0,Verified,10.92,0,,31,100.0,medical,individual,7000,36,9.92,225.61,B,Current
assistant,1.0,FL,MORTGAGE,47000.0,Source Verified,18.03,0,,20,100.0,major_purchase,individual,4200,36,9.92,135.37,B,Current
technician ,10.0,NV,RENT,50000.0,Not Verified,3.07,0,,3,100.0,debt_consolidation,individual,4800,36,11.99,159.41,B,Current
,,CA,RENT,76000.0,Not Verified,18.88,0,48.0,13,92.3,credit_card,individual,16000,36,9.44,512.08,B,Current
co owner,4.0,CA,MORTGAGE,151000.0,Not Verified,5.5,0,,19,100.0,debt_consolidation,individual,15000,36,9.43,480.01,B,Current
respiratory therapist,10.0,LA,MORTGAGE,61000.0,Not Verified,30.45,0,,30,100.0,other,individual,1500,36,7.35,46.56,A,Current
cashier,3.0,FL,OWN,21000.0,Source Verified,17.43,0,,3,100.0,debt_consolidation,individual,20000,60,15.05,476.33,C,Current
annalyst,10.0,AL,MORTGAGE,55000.0,Source Verified,18.92,0,76.0,23,95.5,credit_card,individual,11700,60,11.99,260.21,B,Current
firefighter,4.0,OH,RENT,81000.0,Source Verified,16.13,0,,32,100.0,credit_card,individual,35000,36,9.44,1120.18,B,Current
,,NV,OWN,70000.0,Source Verified,12.74,0,55.0,14,92.9,other,joint,15000,36,9.92,483.45,B,Current
sales engineer,0.0,PA,MORTGAGE,100000.0,Source Verified,22.84,0,,23,100.0,car,individual,13150,60,12.62,296.66,C,Current
driver forklift ,10.0,CA,RENT,50000.0,Source Verified,21.1,0,,40,100.0,credit_card,individual,20000,36,14.08,684.33,C,Current
wfa 1,7.0,OR,MORTGAGE,45700.0,Source Verified,25.53,0,,19,100.0,debt_consolidation,individual,17400,36,10.41,564.81,B,Current
,,NY,RENT,25356.0,Source Verified,18.6,1,13.0,20,95.0,debt_consolidation,individual,14000,60,24.84,409.61,E,Current
,,CA,RENT,120000.0,Not Verified,28.86,0,,31,100.0,debt_consolidation,individual,25000,36,13.59,849.48,C,Current
owner,10.0,MA,MORTGAGE,60000.0,Not Verified,11.36,4,14.0,28,70.4,debt_consolidation,joint,8425,36,17.09,300.76,D,Current
,,SC,RENT,22000.0,Not Verified,10.47,0,,16,100.0,debt_consolidation,individual,4000,36,6.07,121.82,A,Current
sales director,10.0,TX,MORTGAGE,200000.0,Source Verified,27.64,0,59.0,30,97.0,credit_card,individual,28000,36,9.43,896.01,B,Current
file clerk,1.0,CA,RENT,40000.0,Source Verified,19.44,0,,31,100.0,credit_card,individual,15850,36,6.08,482.77,A,Current
key holder,4.0,NJ,RENT,13000.0,Source Verified,16.44,0,,7,100.0,credit_card,individual,4200,36,7.97,131.56,A,Current
receiving clerk,0.0,IN,OWN,31000.0,Source Verified,25.01,0,,10,100.0,debt_consolidation,individual,16000,60,16.01,389.18,C,Current
manager,0.0,CA,RENT,108407.0,Source Verified,7.07,0,,5,100.0,major_purchase,individual,40000,60,9.92,848.31,B,Current
engineer,5.0,TX,MORTGAGE,75000.0,Source Verified,13.52,0,,24,100.0,credit_card,individual,24000,60,15.04,571.47,C,Current
load crew chief,6.0,AZ,MORTGAGE,54000.0,Source Verified,11.36,0,49.0,18,94.4,debt_consolidation,individual,12500,36,7.96,391.48,A,Current
lna,1.0,VT,MORTGAGE,41000.0,Source Verified,37.62,0,73.0,16,81.3,debt_consolidation,individual,15000,36,15.05,520.35,C,Fully Paid
librarian,4.0,CA,RENT,61000.0,Source Verified,22.57,0,27.0,31,96.8,other,individual,5000,36,9.43,160.01,B,Current
horticulturist,5.0,CO,MORTGAGE,32000.0,Source Verified,22.62,0,,15,100.0,debt_consolidation,joint,30000,60,20.0,794.82,D,Current
,,VT,RENT,30000.0,Verified,15.92,0,27.0,12,91.7,other,joint,2000,36,17.09,71.4,D,Current
facility maintenance manager,3.0,TX,MORTGAGE,100000.0,Not Verified,27.33,2,20.0,53,96.2,debt_consolidation,individual,17000,60,14.07,396.18,C,Current
hr director,10.0,MO,MORTGAGE,98000.0,Not Verified,12.86,0,,16,100.0,credit_card,individual,22500,36,10.42,730.46,B,Current
driver,6.0,NH,MORTGAGE,90000.0,Verified,20.29,0,44.0,27,96.2,debt_consolidation,individual,24000,60,12.62,541.42,C,Current
sensor operator,0.0,OR,RENT,45000.0,Source Verified,13.2,0,,3,100.0,credit_card,individual,16000,36,15.04,554.96,C,Current
"senior vice president, sr rel manager",10.0,CA,MORTGAGE,185000.0,Source Verified,30.12,0,55.0,15,80.0,debt_consolidation,joint,24000,60,10.42,514.91,B,Current
learning resource engineer,0.0,FL,RENT,90000.0,Verified,19.57,0,,20,100.0,other,individual,25600,60,18.45,656.36,D,Current
systems administrator,0.0,ND,RENT,57500.0,Source Verified,15.24,0,38.0,56,98.1,debt_consolidation,individual,7100,36,22.91,274.51,E,Current
director of pharmacy,10.0,AR,MORTGAGE,132454.0,Not Verified,21.97,0,,15,100.0,credit_card,joint,12000,36,6.08,365.5,A,Current
,,OH,MORTGAGE,37000.0,Verified,71.91,0,,35,100.0,debt_consolidation,joint,35000,36,16.01,1230.67,C,Current
human resources mananger,10.0,CA,MORTGAGE,104000.0,Not Verified,19.26,0,,30,100.0,debt_consolidation,joint,20000,60,7.35,399.34,A,Current
registered nurse,4.0,CA,MORTGAGE,89000.0,Source Verified,11.24,0,41.0,19,73.7,house,individual,6000,36,11.98,199.23,B,Current
mfg compl tech,10.0,NC,MORTGAGE,60000.0,Verified,16.74,1,15.0,25,92.0,home_improvement,individual,5000,36,7.34,155.17,A,Current
business development manager,0.0,WV,MORTGAGE,90000.0,Source Verified,24.43,0,,27,100.0,debt_consolidation,individual,5600,36,16.02,196.94,C,Current
mailhandler,10.0,CT,RENT,58000.0,Source Verified,22.26,0,,16,100.0,debt_consolidation,individual,20000,60,17.47,502.12,D,Current
assistant principal,4.0,TX,RENT,90000.0,Verified,10.44,0,,14,100.0,small_business,individual,25000,60,20.0,662.35,D,Current
core operator,6.0,IL,MORTGAGE,122000.0,Verified,11.45,0,,12,100.0,debt_consolidation,individual,20000,36,10.41,649.21,B,Current
registered nurse,0.0,CO,RENT,100000.0,Verified,8.1,0,,27,100.0,debt_consolidation,individual,35000,36,12.62,1172.9,C,Current
edi analyst,6.0,NJ,MORTGAGE,103000.0,Not Verified,17.41,0,24.0,69,98.3,credit_card,individual,14000,60,9.44,293.62,B,Current
construction inspector,5.0,OH,RENT,52000.0,Not Verified,15.65,0,,15,100.0,debt_consolidation,individual,2500,36,10.9,81.73,B,Current
administrative nursing supervisor ,10.0,MS,MORTGAGE,70000.0,Not Verified,12.31,0,36.0,45,97.8,credit_card,individual,10000,36,7.35,310.38,A,Current
,,NC,RENT,48000.0,Source Verified,39.35,0,,35,100.0,debt_consolidation,joint,15000,36,5.32,451.73,A,Current
machinist/ supervisor,10.0,TX,RENT,85000.0,Not Verified,13.14,1,23.0,13,61.5,small_business,individual,32000,60,17.09,796.84,D,In Grace Period
case manager,9.0,IN,MORTGAGE,54000.0,Not Verified,4.56,0,,35,100.0,home_improvement,individual,6000,36,5.31,180.67,A,Current
elevator mechanic,10.0,OH,OWN,75000.0,Not Verified,21.01,0,77.0,48,97.1,debt_consolidation,individual,17000,60,10.9,368.78,B,Current
director of quality assurance,5.0,CA,MORTGAGE,110000.0,Verified,5.48,0,47.0,14,85.7,debt_consolidation,individual,5000,36,9.92,161.15,B,Current
executive assistant,10.0,NY,MORTGAGE,140000.0,Not Verified,10.48,0,,30,100.0,credit_card,individual,10000,36,6.71,307.45,A,Current
cna,10.0,NY,RENT,40765.0,Not Verified,37.94,0,52.0,25,96.0,credit_card,individual,4500,36,9.43,144.01,B,Fully Paid
forman,1.0,CA,MORTGAGE,75000.0,Verified,16.54,0,,13,100.0,small_business,individual,11000,60,25.82,328.18,E,Current
rehab officer,10.0,CA,MORTGAGE,107000.0,Verified,19.54,2,15.0,24,54.2,debt_consolidation,individual,40000,60,16.02,973.15,C,Current
operations manager,1.0,VA,RENT,76000.0,Not Verified,3.66,1,18.0,15,93.3,credit_card,individual,10000,36,6.72,307.5,A,Current
machine operator,10.0,IL,MORTGAGE,120000.0,Source Verified,11.74,1,4.0,36,91.7,debt_consolidation,individual,19000,36,10.9,621.14,B,Current
product specialist ,5.0,TX,RENT,37000.0,Not Verified,11.06,0,72.0,34,97.1,debt_consolidation,individual,7500,36,7.97,234.92,A,Current
,,FL,MORTGAGE,60000.0,Source Verified,1.1,0,39.0,16,87.5,credit_card,individual,4800,36,13.59,163.1,C,Current
youth supervisor,7.0,VA,MORTGAGE,85000.0,Source Verified,20.43,0,51.0,27,96.0,debt_consolidation,individual,18000,36,11.98,597.69,B,Current
management,2.0,IL,MORTGAGE,105000.0,Verified,36.81,0,,31,100.0,debt_consolidation,individual,8000,36,12.61,268.06,C,Current
software management directo,5.0,TX,MORTGAGE,150000.0,Not Verified,14.32,0,35.0,11,90.9,debt_consolidation,individual,15000,36,7.97,469.84,A,Fully Paid
professor,10.0,CA,MORTGAGE,97000.0,Verified,15.72,0,75.0,50,93.8,home_improvement,individual,32000,60,12.62,721.89,C,Fully Paid
ehr applications analyst iii,10.0,MA,RENT,93000.0,Not Verified,13.56,0,25.0,29,57.1,debt_consolidation,individual,40000,36,10.91,1307.85,B,Current
owner/ contractor for lowes,10.0,OH,MORTGAGE,86000.0,Not Verified,36.84,1,20.0,39,97.1,small_business,individual,10000,36,12.62,335.12,C,Current
,,NE,MORTGAGE,72000.0,Source Verified,11.82,0,,7,100.0,home_improvement,individual,7200,36,14.08,246.36,C,Current
head of finance,10.0,DC,RENT,110000.0,Source Verified,1.15,0,,26,100.0,medical,individual,30000,36,6.08,913.75,A,Current
director,9.0,NE,MORTGAGE,70000.0,Not Verified,17.33,0,,32,100.0,other,joint,9500,36,12.61,318.32,C,Current
manager ,3.0,FL,MORTGAGE,65000.0,Source Verified,13.35,0,,18,100.0,debt_consolidation,individual,20000,60,20.0,529.88,D,Current
teacher,5.0,FL,RENT,43000.0,Source Verified,5.19,0,49.0,30,96.3,other,joint,23200,60,12.62,523.37,C,Current
project manager,7.0,WV,MORTGAGE,36000.0,Not Verified,15.33,0,69.0,46,97.8,credit_card,joint,19000,60,7.34,379.28,A,Current
,,CA,MORTGAGE,155000.0,Verified,19.46,0,,39,100.0,debt_consolidation,individual,35000,36,7.35,1086.31,A,Current
,,CO,OWN,21120.0,Not Verified,27.33,0,,7,100.0,home_improvement,individual,6000,36,12.62,201.07,C,Current
general manager,10.0,OK,MORTGAGE,280000.0,Source Verified,13.27,0,,14,100.0,debt_consolidation,individual,35000,60,22.9,984.66,E,In Grace Period
professional truck driver,10.0,WV,MORTGAGE,120000.0,Not Verified,37.55,0,,41,100.0,debt_consolidation,individual,12000,36,16.02,422.01,C,Current
